user_id,avg_start_hour,avg_duration_h,avg_energy_kWh,sessions_per_week,location
user_night_0,22.496714153011233,6.398293387770603,22.60412881077355,6,home
user_night_1,21.861735698828817,8.852278184508938,24.071705116680914,6,home
user_night_2,22.64768853810069,6.986502775262066,19.46832512996986,7,home
user_night_3,23.0,5.942289071044099,19.018966879596647,6,home
user_night_4,21.765846625276666,7.822544912103189,29.062629111970992,7,home
user_night_5,21.76586304305082,5.779156350028978,31.781200142854114,5,home
user_night_6,23.0,7.208863595004756,24.63994939209833,7,home
user_night_7,22.76743472915291,5.040329876120224,30.01766448946012,6,home
user_night_8,21.53052561406505,5.671813951101569,26.80818012523817,5,home
user_night_9,22.542560043585965,7.1968612358691235,21.77440122697438,5,home
user_night_10,21.536582307187537,7.738466579995411,26.80697802754207,5,home
user_night_11,21.53427024642974,7.17136828118997,32.690182832329846,7,home
user_night_12,22.241962271566035,6.88435171761176,24.820869804450243,6,home
user_night_13,20.0867197553422,6.698896304410711,32.82321827907003,5,home
user_night_14,20.275082167486968,5.521478009632572,11.901274479551278,5,home
user_night_15,21.437712470759028,6.280155791605291,29.10951252187612,5,home
user_night_16,20.987168879665575,6.539361229040212,25.435235341190857,7,home
user_night_17,22.314247332595272,8.057122226218915,23.504963247670663,7,home
user_night_18,21.09197592447879,7.343618289568461,25.45880388267751,6,home
user_night_19,20.58769629866471,5.236959844637266,15.062155426995536,7,home
user_night_20,23.0,7.3240839693947954,23.90164056081244,5,home
user_night_21,21.774223699513463,6.6149177195836835,26.78556285755873,6,home
user_night_22,22.067528204687925,6.323077999694041,32.38947022370758,5,home
user_night_23,20.575251813786544,7.611676288840868,22.40864890863176,5,home
user_night_24,21.45561727547482,8.03099952249595,20.95753198553406,7,home
user_night_25,22.110922589709865,7.931280119116199,22.491214782077318,6,home
user_night_26,20.8490064225777,6.160782476777362,29.57701058851037,7,home
user_night_27,22.375698018345673,6.690787624148785,26.643755548298422,7,home
user_night_28,21.399361310081193,7.331263431403564,22.351198981164806,6,home
user_night_29,21.708306250206725,7.975545127122359,27.56633716556678,5,home
user_opportunistic_0,12.01178505986536,1.9437558072081345,7.301318086966561,13,mixed
user_opportunistic_1,13.560581579775151,1.8027415654238375,6.968570120295107,9,mixed
user_opportunistic_2,11.461948950632882,1.1398510035705933,4.33985186897043,10,mixed
user_opportunistic_3,11.532531893659813,1.3650331154621547,6.949424748857744,7,mixed
user_opportunistic_4,17.26018106911782,1.4282688851846554,9.686336424593557,10,mixed
user_opportunistic_5,17.014960642107894,1.808501887857565,5.530904700104947,13,mixed
user_opportunistic_6,12.674701930321962,2.1244703495699557,5.080210735772187,11,mixed
user_opportunistic_7,13.747504744456467,1.5328245790556123,9.2098564369003,11,mixed
user_opportunistic_8,17.711048218809385,2.084603823476311,8.26848059252858,13,mixed
user_opportunistic_9,9.720563345823344,1.9366584845447132,12.0,7,mixed
user_opportunistic_10,15.014067976625425,1.6028250670033353,4.362859678483774,9,mixed
user_opportunistic_11,19.92371359086046,0.7782583241518807,8.440774484076393,8,mixed
user_opportunistic_12,19.89510429177639,0.9861445679557556,7.631781814304632,7,mixed
user_opportunistic_13,8.18026634419027,1.870620317522609,7.118562568106392,8,mixed
user_opportunistic_14,11.712119107354546,0.6447352107374845,8.821024436989337,13,mixed
user_opportunistic_15,14.505978161579883,1.5594892459479928,6.94054928462522,12,mixed
user_opportunistic_16,10.034369148099683,2.0002428038810525,3.1272475800307995,8,mixed
user_opportunistic_17,11.995259902602763,1.5762104311296297,5.305284943774713,9,mixed
user_opportunistic_18,13.58812698896219,1.1993013772141368,9.728866894640637,12,mixed
user_opportunistic_19,18.203964694080874,1.0766928215676017,9.3440578076088,8,mixed
user_opportunistic_20,13.863792034139491,1.9080763614406853,6.253761620699274,13,mixed
user_opportunistic_21,14.650810178487028,1.7358536457634894,8.007194128289635,12,mixed
user_opportunistic_22,15.53727119711481,1.357255349506835,12.0,13,mixed
user_opportunistic_23,15.630466073727309,2.032646234422975,6.937626403666312,8,mixed
user_opportunistic_24,14.084298390044605,1.9269988932474507,6.976833360436013,13,mixed
user_opportunistic_25,10.408738809985092,2.3942969286627314,7.381197410229046,9,mixed
user_opportunistic_26,16.369018414252018,1.7834470353935437,8.21395141913725,8,mixed
user_opportunistic_27,15.294468389789126,1.4177497829190477,6.302197634454497,8,mixed
user_opportunistic_28,10.709743104268432,1.4285045326462367,8.21225872619817,8,mixed
user_opportunistic_29,11.953095308239183,0.5327149022494752,3.1115408125008006,7,mixed
user_weekend_0,11.899548076977467,5.592981794259464,34.542146942060995,1,home
user_weekend_1,14.0,3.5660584009899483,31.185453851033195,1,home
user_weekend_2,9.666113250086974,3.2673077986961556,39.37948625913794,2,home
user_weekend_3,8.0,3.4217230860358625,34.25120008768263,2,home
user_weekend_4,12.31359466232796,3.864282617681768,35.99284541571459,1,home
user_weekend_5,8.128198361251936,3.2064949823273894,44.471654632161304,1,home
user_weekend_6,8.633468757091162,3.6315500109133034,31.815874409754798,2,home
user_weekend_7,11.98999130838339,4.157201855097078,27.83230190265809,2,home
user_weekend_8,10.669380770892875,3.884526590076267,33.570314784015345,1,home
user_weekend_9,9.62564964933498,4.831708576975847,39.0899385369541,1,home
user_weekend_10,11.136702502207658,3.680644922185222,34.01141405620865,1,home
user_weekend_11,10.181182338856885,3.7953834945224116,38.48510863057128,2,home
user_weekend_12,14.0,4.271061748742263,24.64820138146652,2,home
user_weekend_13,9.648390531557206,6.0,23.0553261967641,2,home
user_weekend_14,9.17317492535517,3.2123980896411286,25.63969907722327,1,home
user_weekend_15,10.089933652024868,5.923624412145279,19.86094158790132,1,home
user_weekend_16,10.174476773619787,2.816426832055462,30.882396629067372,2,home
user_weekend_17,12.191287303608643,4.228970432230438,26.55979691320067,2,home
user_weekend_18,8.0,3.660613706821803,39.84169082915503,1,home
user_weekend_19,11.852051733668004,3.184729063478076,19.67020510242024,2,home
user_weekend_20,9.917429116720065,4.699092381859989,42.43938141309282,2,home
user_weekend_21,12.553646008851207,4.599896633711006,22.150397318099607,1,home
user_weekend_22,10.904712577685912,3.518751866176494,20.094153190813202,2,home
user_weekend_23,12.03738891543556,2.0,23.402789378791418,1,home
user_weekend_24,10.217196375836336,3.5799525353724837,45.61024068588603,1,home
user_weekend_25,11.87604519484335,4.1392041109568165,29.679318901015975,1,home
user_weekend_26,14.0,4.0018136111946765,34.235484093230426,1,home
user_weekend_27,9.521527137089786,4.755935281791652,28.528866098175836,1,home
user_weekend_28,10.785611049677748,5.933542629429992,29.279370934558347,1,home
user_weekend_29,10.027565428493752,4.413874837250807,25.952959574125646,1,home
user_work_0,9.632852437382711,8.289882811537126,23.374296091121376,4,work
user_work_1,7.0,7.812775043651186,15.734714087040125,4,work
user_work_2,7.0,6.256714752788241,17.1927462298896,4,work
user_work_3,8.923467938648454,9.06947795204087,16.131555781596134,4,work
user_work_4,8.410347143312835,7.836134736537032,25.747018690198214,5,work
user_work_5,8.701698776836292,9.860778054119166,17.19320009196868,4,work
user_work_6,8.588709409340186,9.478252114822464,19.42686696513168,4,work
user_work_7,9.98402354456309,7.120532159753243,17.59758127500166,5,work
user_work_8,9.10356808444235,7.208280021344421,18.767288186900853,4,work
user_work_9,9.267636014163125,6.828023145549555,17.05028213409287,4,work
user_work_10,7.6576871734900065,6.413536381573666,21.850897254564476,4,work
user_work_11,7.0,7.577822825049003,15.836599386880415,4,work
user_work_12,10.123541781691516,9.443747209685762,14.590197780360011,4,work
user_work_13,11.0,6.085092630390478,17.766318522268957,5,work
user_work_14,8.657411131769354,8.851944467564685,16.807059127873867,4,work
user_work_15,9.249314541621954,8.768339454305003,14.648620704766486,4,work
user_work_16,9.324518316374554,8.554692794223628,18.706508803987195,4,work
user_work_17,10.67529324966822,8.733173364744353,13.359530317774666,4,work
user_work_18,9.888984294277153,6.895778211452867,26.910990509737037,4,work
user_work_19,9.496064233225875,8.761571841297597,14.029594542337229,5,work
user_work_20,9.055572156943967,7.45074181845893,17.414802002797003,4,work
user_work_21,9.060232921489092,6.0,18.385780172612357,5,work
user_work_22,7.5605384033662695,8.05741294775637,26.738739858422484,5,work
user_work_23,8.616512473805239,7.155892267591254,13.078738758303288,4,work
user_work_24,9.886201966129375,9.35881663333273,20.568200367670272,4,work
user_work_25,8.766296820685994,7.71365348383408,24.1486338597785,4,work
user_work_26,9.044350557499067,8.045607839925594,18.761027586069577,4,work
user_work_27,7.823872522010928,8.389179576144539,15.320731871315964,5,work
user_work_28,9.445506901281384,7.732599362116621,19.568060142587765,4,work
user_work_29,7.538243343964278,7.896158882570001,26.10840503956991,4,work
